i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
1,3,1,40510644355601.445,228700639639857.72,2718.5266854166416,2752.2435502040203,0.0,0.0
1,3,2,6.0287365881862e+18,7.276504661887455e+24,4317.344640099465,4355.276112985264,0.0,0.0
1,3,3,7.882785865161192e+22,5.526930545927163e+28,4925.542658912971,4967.688739897193,0.0,0.0
1,3,4,7657245341860286.0,7832520560985720.0,4982.28622824566,5028.646917328304,0.0,0.0
1,3,5,1.0770966987805183e+36,1.0770970957179269e+36,4120.595632375975,4171.170929557041,0.0,0.0
1,3,6,3.384055692271728e+27,1.6721209367396735e+34,11262.479836589231,11317.26974186872,0.0,0.0
1,4,0,2.5062806457300027e+22,2.5224774902961744e+22,13957.811793197694,13991.528657985076,0.0,0.0
1,4,1,373181591686097.9,374524994825728.25,4416.843458658606,4454.774931544406,0.0,0.0
1,4,2,2.554003348367693e+18,2.554349499366091e+18,8153.2098283583355,8195.355909342557,0.0,0.0
1,4,3,4.836074496238944e+21,4.836074743709333e+21,12200.504465165384,12246.865154248027,0.0,0.0
1,4,4,1.7189106080548216e+18,1.8237390261803348e+18,7853.817535183028,7904.392832364095,0.0,0.0
1,4,5,4.6156410816106326e+20,6.154605264533266e+20,14450.297634785431,14505.087540064917,0.0,0.0
1,4,6,3.972044493496445e+16,7.853024296714017e+19,14751.650762743617,14810.655276121528,0.0,0.0
1,5,0,5.938828275178195e+19,6.434200934932233e+19,3161.9497779323624,3199.881250818162,0.0,0.0
1,5,1,73961206695321.52,73888725929519.3,1733.8201079682706,1775.9661889524923,0.0,0.0
1,5,2,4.006642730531538e+19,3.685575624686901e+20,9482.605027866173,9528.965716948815,0.0,0.0
1,5,3,7.934578779780543e+17,7.973705918045084e+17,4917.784265027605,4968.359562208671,0.0,0.0
1,5,4,1388053018343689.5,1391370748543325.5,12471.380760221416,12526.170665500904,0.0,0.0
1,5,5,4.202736066004159e+21,9.637890374621296e+23,4377.7999062123845,4436.804419590296,0.0,0.0
1,5,6,488295107413285.25,2.5727157762019825e+21,2835.7475643292687,2898.9666858056016,0.0,0.0
1,6,0,6.511499893234795e+21,3.2546444001676005e+22,6786.030786295121,6828.176867279343,0.0,0.0
1,6,1,1.094361646155701e+28,1.0943617688310416e+28,4323.67417969592,4370.0348687785645,0.0,0.0
1,6,2,1.5338097741074733e+20,6.344736512227138e+23,8437.497350623613,8488.072647804678,0.0,0.0
1,6,3,3.083200453490681e+24,9.249528407982893e+30,11238.73138053314,11293.521285812627,0.0,0.0
1,6,4,1.1392731214257014e+18,1.1388970621798717e+18,20796.412828336157,20855.417341714063,0.0,0.0
1,6,5,6.737884981319965e+17,6.763707604894437e+17,11408.03124901598,11471.250370492311,0.0,0.0
1,6,6,5.089891925821638e+23,5.089905262813265e+23,7029.338007517205,7096.771737091962,0.0,0.0
2,1,0,3.857560851958744e+19,6.140165989444244e+17,13289.113023274098,13310.18606376621,0.0,0.0
