i,p,q,RMSE,AIC,BIC,convergence,stationarity
1,4,0,0.01187840954695767,-608.8337400089397,-593.2027188930111,0.0,0.0
1,4,1,0.011902808925393549,-606.9688956327417,-588.7327043308252,0.0,0.0
1,4,2,0.012076821191568833,-605.2276717306481,-584.3863102427433,0.0,0.0
1,4,3,0.012135377472499225,-604.0234092761472,-580.5768776022543,0.0,0.0
1,4,4,0.012166369438399651,-602.9173514104701,-576.8656495505892,0.0,0.0
2,0,0,0.012978432100147945,-589.5725599618592,-584.3622195898829,0.0,0.0
2,0,1,0.013028106477264826,-588.546189797641,-580.7306792396766,0.0,0.0
2,0,2,0.013193995948141059,-587.7292120246265,-577.3085312806742,0.0,0.0
2,0,3,0.01321492257403573,-588.0024725003391,-574.9766215703986,0.0,0.0
2,0,4,0.013327506808002917,-587.2045684631064,-571.5735473471779,0.0,0.0
2,1,0,0.013047057779408485,-588.3859385756264,-580.5704280176622,0.0,0.0
2,1,1,0.013108188958775911,-587.4509645072826,-577.0302837633302,0.0,0.0
2,1,2,0.013237682676273434,-587.8307544543619,-574.8049035244214,0.0,0.0
2,1,3,0.013345989240252758,-586.5364668817446,-570.905445765816,0.0,0.0
2,1,4,0.013363607291388233,-585.4101802270584,-567.1739889251419,0.0,0.0
2,2,0,0.013105755471602918,-587.5620463017954,-577.1413655578428,0.0,0.0
2,2,1,0.01318032560786697,-587.1163749955516,-574.0905240656111,0.0,0.0
2,2,2,0.013320478293240609,-586.5505620193312,-570.9195409034027,0.0,0.0
2,2,3,0.013338110196573933,-585.9294950153943,-567.6933037134776,0.0,0.0
2,2,4,0.013425514435636988,-584.3936144621325,-563.5522529742277,0.0,0.0
2,3,0,0.013165638329813177,-587.5728792638143,-574.5470283338738,0.0,0.0
2,3,1,0.013228847716751988,-586.540824041764,-570.9098029258356,0.0,0.0
2,3,2,0.013120687289861656,-585.2192645881238,-566.9830732862072,0.0,0.0
2,3,3,0.013406049519057708,-585.0798290361964,-564.2384675482916,0.0,0.0
2,3,4,0.013444355007612221,-583.3950403888886,-559.9485087149958,0.0,0.0
2,4,0,0.013266105326789636,-587.2195140061599,-571.5884928902314,0.0,0.0
2,4,1,0.01328884259599376,-585.5631814705428,-567.3269901686261,0.0,0.0
2,4,2,0.013344385141206309,-583.8476781027565,-563.0063166148517,0.0,0.0
2,4,3,0.013518877530313153,-583.2546262176928,-559.8080945437999,0.0,0.0
2,4,4,0.013350546975417201,-582.9164896783119,-556.864787818431,0.0,0.0
