i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
1,0,4,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
1,0,5,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
1,0,6,0.06133661600720295,0.009466042072133979,-151.8962887205617,-110.21356574475226,0.0,704.0
1,1,0,0.0601412646164605,0.0033632004172147144,-282.68540917255285,-269.6595582426124,0.0,0.0
1,1,1,0.06014548384983688,0.0032963196712966453,-281.3944974558227,-265.76347633989417,0.0,0.0
1,1,2,0.0601628218719718,0.0032966552195045863,-279.4555015916375,-261.21931028972085,0.0,0.0
1,1,3,0.060167526449585396,0.003296501290337564,-277.495350870377,-256.6539893824723,0.0,0.0
1,1,4,0.060182293451851485,0.003296544048623118,-275.606879856882,-252.1603481829892,0.0,0.0
1,1,5,0.06013489785217384,0.0032967137129428135,-274.00054064265174,-247.94883878277076,0.0,0.0
1,1,6,0.060107003823903715,0.0032968404765025853,-272.20815686473446,-243.5512848188654,0.0,0.0
1,2,0,0.0601152848868528,0.003060419680763656,-281.1204197262759,-265.4893986103473,0.0,0.0
1,2,1,0.060130949481505915,0.003060546360338505,-279.66810233246423,-261.43191103054755,0.0,0.0
1,2,2,0.06016024819004141,0.003060671435315468,-277.74589561141255,-256.90453412350774,0.0,0.0
1,2,3,0.06015658983373691,0.003060695329005967,-275.8406483892474,-252.39411671535456,0.0,0.0
1,2,4,0.06016529071309029,0.00306075836083994,-273.94974993603506,-247.89804807615417,0.0,0.0
1,2,5,0.06012150899746999,0.003060916766991915,-272.589333789065,-243.93246174319594,0.0,0.0
1,2,6,0.06012735959968796,0.0030610067101131716,-270.7685525974085,-239.50651036555135,0.0,0.0
1,3,0,0.06010899559914798,0.0030606886436252796,-279.3136418632282,-261.07745056131154,0.0,0.0
1,3,1,0.060185704660805896,0.00306060380066787,-277.73557153821724,-256.8942100503125,0.0,0.0
1,3,2,0.060242203111156044,0.0030606864254832085,-275.8441100461525,-252.39757837225972,0.0,0.0
1,3,3,0.06019592510626672,0.0030607381021616233,-274.20635242626895,-248.15465056638806,0.0,0.0
1,3,4,0.060170561610056746,0.003060500948424955,-272.3338343615848,-243.6769623157158,0.0,0.0
1,3,5,0.060106879406756276,0.003060729889043802,-270.8229811236372,-239.56093889178007,0.0,0.0
1,3,6,0.060097710916344,0.0030607741395070106,-269.29033393223216,-235.42312151438693,0.0,0.0
1,4,0,0.0601463920177558,0.0030605242243128767,-277.5623971290135,-256.7210356411087,0.0,0.0
1,4,1,0.060219753888582576,0.0030606050112015853,-275.9765356432371,-252.53000396934428,0.0,0.0
1,4,2,0.06023308119190844,0.003060765854205103,-274.0261341359323,-247.97443227605137,0.0,0.0
1,4,3,0.06023027296139931,0.0030607431292207104,-272.56508010487835,-243.90820805900933,0.0,0.0
1,4,4,0.06018959091695851,0.0030607568812859617,-270.71150468488116,-239.449462453024,0.0,0.0
1,4,5,0.060140230676697985,0.003061116311654976,-269.0467338641201,-235.1795214462749,0.0,0.0
1,4,6,0.06015370355451928,0.003060804514635033,-267.6148915474405,-231.1425089436072,0.0,0.0
1,5,0,0.060157783780159485,0.003060917044545539,-276.29608260746414,-252.84955093357138,0.0,0.0
1,5,1,0.06019063400242961,0.0030606452613330198,-274.43577221716873,-248.38407035728778,0.0,0.0
1,5,2,0.06022922300422882,0.0030606637176362056,-272.4356824501267,-243.7788104042577,0.0,0.0
