,LR,LDA,CART,NB,SVM,NN,RF,ET,AB,GBM
0,0.5641025641025641,0.6153846153846154,0.6153846153846154,0.5641025641025641,0.0,0.02564102564102564,0.6410256410256411,0.6410256410256411,0.5897435897435898,0.48717948717948717
1,0.6666666666666666,0.7692307692307693,0.717948717948718,0.5641025641025641,0.0,0.23076923076923078,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.6666666666666666
2,0.6666666666666666,0.7692307692307693,0.7692307692307693,0.6666666666666666,0.0,0.05128205128205128,0.8205128205128205,0.7948717948717948,0.6923076923076923,0.28205128205128205
3,0.5897435897435898,0.717948717948718,0.717948717948718,0.6410256410256411,0.0,0.0,0.7948717948717948,0.7435897435897436,0.6410256410256411,0.6410256410256411
4,0.6666666666666666,0.7435897435897436,0.6666666666666666,0.6666666666666666,0.0,0.0,0.7435897435897436,0.717948717948718,0.717948717948718,0.2564102564102564
5,0.6923076923076923,0.7948717948717948,0.717948717948718,0.717948717948718,0.0,0.23076923076923078,0.8205128205128205,0.7692307692307693,0.6410256410256411,0.2564102564102564
6,0.7435897435897436,0.8974358974358975,0.8717948717948718,0.7435897435897436,0.0,0.8974358974358975,0.8974358974358975,0.9230769230769231,0.7948717948717948,0.717948717948718
7,0.6410256410256411,0.6923076923076923,0.7692307692307693,0.6666666666666666,0.0,0.02564102564102564,0.7435897435897436,0.7692307692307693,0.6153846153846154,0.2564102564102564
8,0.717948717948718,0.7948717948717948,0.717948717948718,0.6410256410256411,0.0,0.8205128205128205,0.8205128205128205,0.7948717948717948,0.6666666666666666,0.4358974358974359
9,0.6923076923076923,0.7435897435897436,0.7692307692307693,0.6153846153846154,0.0,0.1794871794871795,0.717948717948718,0.717948717948718,0.6153846153846154,0.6666666666666666
