i,p,q,RMSE,AIC,BIC,convergence,stationarity
0,4,3,0.16701747145270984,-83.87465133310997,-60.428119659217145,0.0,0.0
0,4,4,0.17198238845937092,-82.94886677904643,-56.89716491916552,0.0,0.0
1,0,0,0.06015533679094462,-284.7839601255822,-279.573619753606,0.0,0.0
1,0,1,0.060767905583235575,-283.88645186041686,-276.0709413024526,0.0,0.0
1,0,2,0.06118019258711233,-283.0462176585732,-272.62553691462085,0.0,0.0
1,0,3,0.0617191401276808,-282.3138088658352,-269.2879579358947,0.0,0.0
1,0,4,0.062377021374090416,-281.1021524685065,-265.4711313525779,0.0,0.0
1,1,0,0.060644191407282,-283.7039059472871,-275.8883953893228,0.0,0.0
1,1,1,0.061424149651899775,-283.4682134089057,-273.0475326649533,0.0,0.0
1,1,2,0.06133710463073372,-282.92717031492424,-269.90131938498376,0.0,0.0
1,1,3,0.062028605869299515,-282.4183729304848,-266.7873518145562,0.0,0.0
1,1,4,0.062446061347875365,-281.5015427098534,-263.2653514079368,0.0,0.0
1,2,0,0.06097889733937974,-282.94700901654295,-272.5263282725906,0.0,0.0
1,2,1,0.0614591608072891,-282.93430497067857,-269.90845404073804,0.0,0.0
1,2,2,0.06222443466407495,-282.5855207659344,-266.95449965000586,0.0,0.0
1,2,3,0.06247228056433895,-281.45707903861654,-263.22088773669986,0.0,0.0
1,2,4,0.06268129105848662,-280.5778095204801,-259.73644803257537,0.0,0.0
1,3,0,0.06156488930345388,-282.1762669062537,-269.15041597631324,0.0,0.0
1,3,1,0.0617755333255559,-281.80499197095816,-266.1739708550296,0.0,0.0
1,3,2,0.062173036047968804,-280.6901220533985,-262.4539307514819,0.0,0.0
1,3,3,0.06293369077769766,-280.26469527869864,-259.4233337907939,0.0,0.0
1,3,4,0.0626944150583234,-279.6913167744799,-256.244785100587,0.0,0.0
1,4,0,0.06207054765751131,-280.8532305773233,-265.22220946139475,0.0,0.0
1,4,1,0.062359447848331896,-280.6707640708919,-262.4345727689752,0.0,0.0
1,4,2,0.062317854284599135,-279.02818917860094,-258.1868276906962,0.0,0.0
1,4,3,0.06264059040654,-278.6173690758726,-255.17083740197978,0.0,0.0
1,4,4,0.06367036864119933,-278.15663675552963,-252.1049348956487,0.0,0.0
