i,p,q,RMSE,AIC,BIC,convergence,stationarity
1,0,4,0.004528635554771589,-1415.3522651905341,-1390.064616600001,0.0,0.0
1,1,0,0.004523014931800261,-1419.4682416991345,-1406.824417403868,0.0,0.0
1,1,1,0.004513567899516839,-1418.0840698372247,-1401.2256374435358,0.0,0.0
1,1,2,0.004522898457360555,-1416.0328544659535,-1394.9598139738428,0.0,0.0
1,1,3,0.0045288818923559125,-1416.2171383644247,-1390.9294897738916,0.0,0.0
1,1,4,0.004534902110750036,-1416.366464888149,-1386.8642081991936,0.0,0.0
1,2,0,0.004518220505616766,-1418.0564713012288,-1401.19803890754,0.0,0.0
1,2,1,0.0045200619460475915,-1416.1706020070264,-1395.0975615149157,0.0,0.0
1,2,2,0.004528818135442922,-1414.7764161701689,-1389.4887675796356,0.0,0.0
1,2,3,0.004502005732914534,-1422.4368520804267,-1392.9345953914715,0.0,0.0
1,2,4,0.004468687514231808,-1419.7069366366998,-1385.9900718493222,0.0,0.0
1,3,0,0.0045208116072430965,-1416.4805012602221,-1395.4074607681112,0.0,0.0
1,3,1,0.004518109783237606,-1415.4279450552458,-1390.1402964647127,0.0,0.0
1,3,2,0.0045312318148346235,-1414.3557710437062,-1384.853514354751,0.0,0.0
1,3,3,0.004559784094526787,-1415.9042491274738,-1382.1873843400963,0.0,0.0
1,3,4,0.004461183705757455,-1418.723875948303,-1380.7924030625034,0.0,0.0
1,4,0,0.004530166019961262,-1415.3268315283472,-1390.039182937814,0.0,0.0
1,4,1,0.004536503595008626,-1414.913177428225,-1385.4109207392696,0.0,0.0
1,4,2,0.0045720162620869744,-1413.2830603420084,-1379.5661955546307,0.0,0.0
1,4,3,0.004636597715695406,-1413.6894818411122,-1375.7580089553128,0.0,0.0
1,4,4,0.004450064058211779,-1416.5382287081914,-1374.3921477239696,0.0,0.0
2,0,0,0.0029947201108689657,-1429.6263488631628,-1421.1971326663186,0.0,0.0
2,0,1,0.0029942850554215334,-1427.9629983881932,-1415.319174092927,0.0,0.0
2,0,2,0.0029901818650821385,-1426.6836786799438,-1409.825246286255,0.0,0.0
2,0,3,0.003003662987653505,-1426.347073751453,-1405.274033259342,0.0,0.0
2,0,4,0.0030126863646080053,-1424.4786904426949,-1399.1910418521616,0.0,0.0
2,1,0,0.002994460909722916,-1427.9359570294132,-1415.2921327341464,0.0,0.0
2,1,1,0.0029999549464492167,-1425.855397413982,-1408.9969650202931,0.0,0.0
2,1,2,0.0029911690487385975,-1425.2727889537139,-1404.1997484616031,0.0,0.0
2,1,3,0.003021651206504749,-1425.5087009965778,-1400.2210524060447,0.0,0.0
2,1,4,0.0030434991077511655,-1423.3269309830062,-1393.8246742940507,0.0,0.0
2,2,0,0.0029888233547199993,-1426.7842198747912,-1409.9257874811021,0.0,0.0
2,2,1,0.003000494255052981,-1425.402774076667,-1404.329733584556,0.0,0.0
2,2,2,0.003022146981545192,-1427.2362103337796,-1401.9485617432465,0.0,0.0
2,2,3,0.0030351418807615153,-1425.2132322643315,-1395.710975575376,0.0,0.0
2,2,4,0.0030273502664812948,-1424.449286194732,-1390.7324214073544,0.0,0.0
2,3,0,0.003007567052332284,-1426.6681252627084,-1405.5950847705972,0.0,0.0
2,3,1,0.0030227053048056105,-1425.6232291273245,-1400.3355805367912,0.0,0.0
2,3,2,0.003015829799994339,-1424.8996878699334,-1395.397431180978,0.0,0.0
2,3,3,0.0030164364593852203,-1425.7979187151232,-1392.0810539277456,0.0,0.0
2,3,4,0.0030501770915898137,-1423.6193116164611,-1385.6878387306615,0.0,0.0
2,4,0,0.0030159239932366346,-1424.7983325323917,-1399.5106839418586,0.0,0.0
2,4,1,0.0030234035025356568,-1422.8869293072687,-1393.3846726183133,0.0,0.0
2,4,2,0.003033852565696029,-1422.1767077656941,-1388.4598429783164,0.0,0.0
2,4,3,0.003056565073069889,-1424.31314895318,-1386.3816760673806,0.0,0.0
2,4,4,0.003050110172573172,-1420.7714400717869,-1378.6253590875647,0.0,0.0
