,LR,LDA,CART,NB,SVM,NN,RF,ET,AB,GBM
0,0.48717948717948717,0.5128205128205128,0.5641025641025641,0.7435897435897436,0.46153846153846156,0.6923076923076923,0.5641025641025641,0.6153846153846154,0.6153846153846154,0.6410256410256411
1,0.6923076923076923,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.6923076923076923,0.7948717948717948,0.7948717948717948,0.7948717948717948,0.7435897435897436,0.6923076923076923
2,0.6153846153846154,0.717948717948718,0.7435897435897436,0.7948717948717948,0.5897435897435898,0.7948717948717948,0.717948717948718,0.7435897435897436,0.6666666666666666,0.6153846153846154
3,0.6666666666666666,0.8205128205128205,0.7692307692307693,0.8461538461538461,0.6666666666666666,0.8205128205128205,0.8205128205128205,0.8205128205128205,0.6923076923076923,0.2564102564102564
4,0.5384615384615384,0.8461538461538461,0.7948717948717948,0.8717948717948718,0.6666666666666666,0.8717948717948718,0.8461538461538461,0.8205128205128205,0.7948717948717948,0.3076923076923077
5,0.6153846153846154,0.717948717948718,0.7435897435897436,0.7948717948717948,0.5641025641025641,0.717948717948718,0.6923076923076923,0.717948717948718,0.6410256410256411,0.28205128205128205
6,0.6410256410256411,0.7435897435897436,0.717948717948718,0.7948717948717948,0.5897435897435898,0.6923076923076923,0.7692307692307693,0.7692307692307693,0.5384615384615384,0.15384615384615385
7,0.6153846153846154,0.8461538461538461,0.8205128205128205,0.8717948717948718,0.717948717948718,0.8717948717948718,0.8717948717948718,0.8717948717948718,0.7435897435897436,0.20512820512820512
8,0.5897435897435898,0.7948717948717948,0.8205128205128205,0.8205128205128205,0.717948717948718,0.7692307692307693,0.8461538461538461,0.8205128205128205,0.7435897435897436,0.07692307692307693
9,0.6410256410256411,0.8205128205128205,0.7948717948717948,0.8974358974358975,0.6410256410256411,0.8717948717948718,0.8205128205128205,0.8205128205128205,0.7692307692307693,0.7948717948717948
