,LR,CART,NB,RF,ET,AB,GBM
0,0.8461538461538461,0.7435897435897436,0.8461538461538461,0.7692307692307693,0.7435897435897436,0.8974358974358975,0.8974358974358975
1,0.8717948717948718,0.7948717948717948,0.8974358974358975,0.8205128205128205,0.8461538461538461,0.8717948717948718,0.8717948717948718
2,0.8717948717948718,0.7692307692307693,0.8717948717948718,0.7692307692307693,0.7435897435897436,0.9230769230769231,0.9230769230769231
3,0.7948717948717948,0.7692307692307693,0.8461538461538461,0.717948717948718,0.717948717948718,0.8974358974358975,0.8974358974358975
4,0.717948717948718,0.5897435897435898,0.7435897435897436,0.6666666666666666,0.6410256410256411,0.7692307692307693,0.7948717948717948
5,0.7948717948717948,0.7435897435897436,0.8205128205128205,0.7948717948717948,0.7948717948717948,0.8461538461538461,0.8205128205128205
6,0.8205128205128205,0.7435897435897436,0.7948717948717948,0.7692307692307693,0.7692307692307693,0.8461538461538461,0.8461538461538461
7,0.8974358974358975,0.8205128205128205,0.8974358974358975,0.8461538461538461,0.8461538461538461,0.9230769230769231,0.9487179487179487
8,0.8974358974358975,0.7948717948717948,0.8974358974358975,0.8974358974358975,0.8717948717948718,0.9487179487179487,0.9487179487179487
9,0.9487179487179487,0.7435897435897436,0.9230769230769231,0.7948717948717948,0.7948717948717948,0.9487179487179487,0.9230769230769231
