i,p,q,RMSE,var,AIC,BIC,convergence,stationarity
0,1,0,0.022578816498877566,0.027053063459213184,-378.6918435245159,-357.61880303240486,0.0,0.0
0,1,1,0.022550506021903245,0.024903868343392453,-419.47185823410433,-394.18420964357114,0.0,0.0
0,1,2,0.022552682754044418,0.02487845825259158,-417.49575306882616,-387.9934963798708,0.0,0.0
0,1,3,0.022550773354079668,0.0248743593749923,-415.49907082764827,-381.7822060402708,0.0,0.0
0,1,4,0.02255238037790675,0.024874371460184376,-413.49747574203474,-375.56600285623495,0.0,0.0
0,1,5,0.022548851293259814,0.024843422571606488,-411.5387896722379,-369.392708688016,0.0,0.0
0,1,6,0.022549529615405572,0.024824223297358772,-409.5657085617352,-363.2050194790911,0.0,0.0
0,2,0,0.02254012544697919,0.026674247402689227,-390.86686285889783,-365.5792142683647,0.0,0.0
0,2,1,0.022543423544650578,0.024832947029759134,-418.16087285921793,-388.6586161702625,0.0,0.0
0,2,2,0.022548346406384694,0.02479133131389557,-416.26341697447225,-382.54655218709473,0.0,0.0
0,2,3,0.022549120301076756,0.02477272594775441,-414.31154241142747,-376.3800695256278,0.0,0.0
0,2,4,0.022548962512537008,0.0247992345580129,-412.3737747945196,-370.2276938102977,0.0,0.0
0,2,5,0.02254783788162166,0.02477632587822675,-410.5144426329894,-364.1537535503453,0.0,0.0
0,2,6,0.022546590350094254,0.02480164570403002,-408.61401721134416,-358.03872003027783,0.0,0.0
0,3,0,0.022529772846621353,0.02599672087141751,-404.05985034919627,-374.5575936602409,0.0,0.0
0,3,1,0.0225445688904784,0.024845493925058564,-416.1750730002278,-382.45820821285025,0.0,0.0
0,3,2,0.022545559648637848,0.02478694571989589,-414.34702201987875,-376.415549134079,0.0,0.0
0,3,3,0.022546044915672622,0.024838769748261103,-412.6098803374299,-370.463799353208,0.0,0.0
0,3,4,0.02254706884369254,0.02488087747886788,-410.6481383706873,-364.28744928804326,0.0,0.0
0,3,5,0.022547579565062727,0.024887526016041554,-409.24138044092433,-358.666083259858,0.0,0.0
0,3,6,0.022548655483421075,0.024870017586551618,-407.37600678886844,-352.58610150937994,0.0,0.0
0,4,0,0.022519996910211938,0.025353137458626,-410.3000202147471,-376.5831554273696,0.0,0.0
0,4,1,0.022544283096161032,0.024848090408810496,-414.17202269813953,-376.2405498123398,0.0,0.0
0,4,2,0.022550970759113498,0.024788719052175716,-412.4515400270777,-370.3054590428558,0.0,0.0
0,4,3,0.022548090837038466,0.02479813717321648,-410.7416345830475,-364.3809455004034,0.0,0.0
0,4,4,0.022552263742566615,0.024802525700450707,-408.9510352202904,-358.375738039224,0.0,0.0
0,4,5,0.02253995326313504,0.024782200320526238,-408.2137171203489,-353.4238118408604,0.0,0.0
0,4,6,0.02253926907635334,0.024805761669845796,-406.1414458755516,-347.13693249764094,0.0,0.0
0,5,0,0.02253237745198677,0.02518012671004098,-409.50656215597445,-371.5750892701746,0.0,0.0
0,5,1,0.02254356516762598,0.0248560736447154,-412.1699540703341,-370.0238730861122,0.0,0.0
0,5,2,0.022549628902302152,0.02478574967784963,-410.45361329542385,-364.09292421277974,0.0,0.0
0,5,3,0.022548120266249742,0.02482261357720624,-408.7123924048304,-358.1370952237641,0.0,0.0
0,5,4,0.022546618738588747,0.024803978873960728,-406.9409905098199,-352.15108523033143,0.0,0.0
0,5,5,0.02253998960821161,0.02478997648870171,-406.2108988198151,-347.2063854419045,0.0,0.0
0,5,6,0.02253720165404964,0.024785454749820045,-404.07915223017494,-340.86003075384207,0.0,0.0
0,6,0,0.022540765439339076,0.02503633860486949,-409.5884741967869,-367.442393212565,0.0,0.0
0,6,1,0.022549599221220722,0.02484732000966684,-410.343862461975,-363.98317337933094,0.0,0.0
0,6,2,0.02254839899906148,0.024814708442701578,-408.6507438514528,-358.0754466703865,0.0,0.0
0,6,3,0.02254699410440548,0.024829970895975818,-406.8046168410601,-352.01471156157163,0.0,0.0
0,6,4,0.022549308649480505,0.024871702071098137,-405.079304554159,-346.0747911762484,0.0,0.0
0,6,5,0.022541202190902287,0.0247797940965034,-404.3925605713379,-341.173439095005,0.0,0.0
0,6,6,0.022540592489930518,0.024823618939672915,-402.3512859941555,-334.9175564194004,0.0,0.0
1,1,0,0.004531603872030278,0.0033662725360009108,-1415.428091270108,-1394.3550507779973,0.0,0.0
1,1,1,0.004589748308584116,0.004302287182561764,-1420.9092742563819,-1395.6216256658488,0.0,0.0
1,1,2,0.00452403298487374,0.004218445710685269,-1431.726296888709,-1402.2240401997535,0.0,0.0
1,1,3,0.0045243196699778455,0.004168296174924605,-1428.6191877067406,-1394.9023229193633,0.0,0.0
1,1,4,0.004523808551320599,0.004204615043011352,-1426.4542422081722,-1388.5227693223726,0.0,0.0
1,1,5,0.005096767339179464,0.0047070445849505,-1394.0706631418932,-1351.9245821576712,0.0,0.0
1,1,6,2241067958131.7305,2241067954434.362,-1264.4959161733452,-1218.1352270907014,0.0,0.0
1,2,0,0.004526209852331687,0.0034319340304910144,-1427.93293130387,-1402.6452827133369,0.0,0.0
1,2,1,0.004525199298864438,0.004199291392566812,-1431.9301814704377,-1402.427924781482,0.0,0.0
1,2,2,0.004521776437077501,0.0042133450024741895,-1429.3489855416142,-1395.6321207542367,0.0,0.0
1,2,3,5027431192.933556,5027431511.999219,-1145.2757069056652,-1107.3442340198656,0.0,0.0
1,2,4,0.004529616390012598,0.004188023965836814,-1424.685247928533,-1382.539166944311,0.0,0.0
1,2,5,0.004524032135633776,0.004239916906287196,-1424.5825964375724,-1378.2219073549284,0.0,0.0
